T(s),?(rad/s)
0,0
0.01,1.0
0.02,3.0
0.03,4.0
0.04,6.0
0.05,6.0
0.06,8.0
0.07,9.0
0.08,9.0
0.09,11.0
0.1,10.0
0.11,11.0
0.12,12.0
0.13,12.0
0.14,12.0
0.15,13.0
0.16,12.0
0.17,14.0
0.18,13.0
0.19,13.0
0.2,14.0
0.21,14.0
0.22,14.0
0.23,15.0
0.24,14.0
0.25,15.0
0.26,14.0
0.27,14.0
0.28,15.0
0.29,14.0
0.3,15.0
0.31,14.0
0.32,15.0
0.33,15.0
0.34,15.0
0.35,15.0
0.36,14.0
0.37,15.0
0.38,15.0
0.39,15.0
0.4,15.0
0.41,15.0
0.42,15.0
0.43,15.0
0.44,15.0
0.45,15.0
0.46,15.0
0.47,14.0
0.48,15.0
0.49,15.0
